2024-10-05 06:04:22,203 [   9272]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,206 [   9275]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,206 [   9275]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,207 [   9276]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,432 [   9501]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,433 [   9502]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:22,451 [   9520]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=GitHub, id=org.jetbrains.plugins.github, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/github, version=221.5787.24, package=org.jetbrains.plugins.github, isBundled=true)
2024-10-05 06:04:22,454 [   9523]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Space, id=com.jetbrains.space, moduleName=intellij.space.vcs, descriptorPath=intellij.space.vcs.xml, path=/usr/local/pycharm/plugins/space, version=221.5787.24, package=com.intellij.space.vcs, isBundled=true)
2024-10-05 06:04:33,308 [  20377]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@456c4dde). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/cwm-plugin, version=221.5787.24, package=null, isBundled=true)
Info  | RdCoroutineScope          | 11:JobScheduler FJ pool 1/2 | RdCoroutineHost overridden 
2024-10-05 06:04:40,450 [  27519]   WARN - #c.i.o.a.i.ActionUpdater - 103 ms to call on EDT CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup). Use `UpdateInBackground`.
2024-10-05 06:04:41,159 [  28228]   WARN - #c.i.o.a.i.ActionUpdater - 411 ms to call on EDT SettingsEntryPointAction#update (com.intellij.ide.actions.SettingsEntryPointAction). Use `UpdateInBackground`.
2024-10-05 06:04:41,462 [  28531]   WARN - #c.i.o.a.i.ActionUpdater - 208 ms to call on EDT SpaceMainToolBarAction#update (com.intellij.space.vcs.actions.SpaceMainToolBarAction). Use `UpdateInBackground`.
2024-10-05 06:04:49,809 [  36878]   WARN - #c.i.d.PerformanceWatcherImpl - UI was frozen for 7129ms, details saved to /home/hduser/.cache/JetBrains/PyCharmCE2022.1/log/threadDumps-freeze-20241005-060447-PC-221.5787.24-7sec
2024-10-05 06:04:58,661 [  45730]   WARN - #c.i.o.a.i.ActionUpdater - 110 ms to call on EDT OpenFileAction#update (com.intellij.ide.actions.OpenFileAction). Use `UpdateInBackground`.
